unit,task_id,mixer,seed,p,strategy,status,loss,energy_report,p_opt,p_feas,p_opt_given_feas,objective_evaluations,gradient_evaluations,work_credits,work_budget,nominal_layer_work,fit_seconds,iterations,winner_call,active_parameter_count,earlier_parameter_change,incomplete_previous_calls_charged,ancestor_calls,ancestor_gradients,ancestor_credits,ancestor_layer_work,ancestor_fit_seconds,cumulative_layer_work,cumulative_credits,cumulative_fit_seconds,cumulative_calls,parent_record,parent_sha256,winner_sha256,has_state,complex_state_sha256,independent_state_error,cnot,ancillas,one_qubit,toffoli,initial_parameters_sha256,anchor_present,prefix_present
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,6,FROZEN_LAYERWISE,CONVERGED,0.3717743949534494,0.37177439495344966,4.012501845684108e-06,1.244378851341958e-05,0.3224501799718761,14,13,40,64,240,0.7253158092498779,5,14,2,0.0,0,37,33,103,326,0.9624130725860596,566,143,1.6877288818359375,51,fits/tv2_m16_branch_00__X__s9101/p005/FROZEN_LAYERWISE/WINNER.json,83be8ea9497f5da5d15ee50b6aea08d55aea315649b55a9fce92f78265c9d529,223682314fd4ad8a7185fb554505c75635d47a37b419a7c27bfef8be6ea98cf6,False,,,59820,509,74662,8088,920bd6336fa46584961f6b23e4ec098dcb87a2739a2e100b0a0054753ba2c54a,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,6,WARM_JOINT,BUDGET_EXHAUSTED,0.3677640255258905,0.36776402552589055,1.0778636201865557e-05,2.6810906307941553e-05,0.4020243134665261,22,21,64,64,384,1.0574426651000977,15,21,12,2.8028312202328274,0,56,52,160,584,1.6793403625488281,968,224,2.736783027648926,78,fits/tv2_m16_branch_00__X__s9101/p005/WARM_JOINT/WINNER.json,dfc5f3083bd8cbb1e5a79092f38d4413db1c25db6db4a4aa62b1c6f02d9bc019,5ccb835711cf418cace3690dedac9d7c6a9782fdc08b57418d783e4a1860e80c,False,,,59820,509,74662,8088,96c5827c9746390a6350378614e27d6497cf3710c1b41709cb16df688dc06a17,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,7,FROZEN_LAYERWISE,CONVERGED,0.3711032164558092,0.37110321645581,3.2788935708856194e-06,1.1335945531559338e-05,0.28924747051378824,13,12,37,64,259,0.9082908630371094,4,13,2,0.0,0,51,46,143,566,1.6877288818359375,825,180,2.596019744873047,64,fits/tv2_m16_branch_00__X__s9101/p006/FROZEN_LAYERWISE/WINNER.json,223682314fd4ad8a7185fb554505c75635d47a37b419a7c27bfef8be6ea98cf6,cf879af5c21c81e5e7211484d39d047fcfe97cab48fec8caeec6af71a556ea15,False,,,69790,509,87103,9436,385336e3d40b9dd4239bdf84242f878ada82102d01ad8e56c2aac37c7af266c1,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,7,WARM_JOINT,BUDGET_EXHAUSTED,0.3645283058266423,0.36452830582664186,3.684038557698123e-05,0.00010374813670052264,0.3550944310770995,22,21,64,64,448,1.3313610553741455,19,22,14,7.47020368632084,0,78,73,224,968,2.736783027648926,1416,288,4.068144083023071,100,fits/tv2_m16_branch_00__X__s9101/p006/WARM_JOINT/WINNER.json,5ccb835711cf418cace3690dedac9d7c6a9782fdc08b57418d783e4a1860e80c,a601be5e9b3ef2d34e2777f87cba11740138dd6e1e994bcd339672de0b86a211,False,,,69790,509,87103,9436,e95537890efd37bbb906a4d584928f35e9c2e64a32df2012632e448f0ab07c0e,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,8,FROZEN_LAYERWISE,CONVERGED,0.370150447778096,0.370150447778096,4.148962773104672e-06,1.2262112851895948e-05,0.3383562705070983,13,12,37,64,296,0.7901992797851562,5,13,2,0.0,0,64,58,180,825,2.596019744873047,1121,217,3.386219024658203,77,fits/tv2_m16_branch_00__X__s9101/p007/FROZEN_LAYERWISE/WINNER.json,cf879af5c21c81e5e7211484d39d047fcfe97cab48fec8caeec6af71a556ea15,f0120ad4bf9a2642dc01eab726319e73fdb7739cc3a95f408a18ec7fbbb2b1e3,True,474367b694cdcc653eaf384782e60b0782125f3f487ccc54235aade0124d6772,2.9935919515653524e-16,79760,509,99544,10784,d35976eeb9a176f9cc5608a1d726b8ba8ed7bb390146a32fb62b933f7f876128,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,8,WARM_JOINT,BUDGET_EXHAUSTED,0.3615076663879495,0.3615076663879496,4.295069762592137e-05,0.00011195576488481328,0.3836398926853976,22,21,64,64,512,1.3698077201843262,19,22,16,4.858931405576123,0,100,94,288,1416,4.068144083023071,1928,352,5.4379518032073975,122,fits/tv2_m16_branch_00__X__s9101/p007/WARM_JOINT/WINNER.json,a601be5e9b3ef2d34e2777f87cba11740138dd6e1e994bcd339672de0b86a211,0f372c729d1f914d265fbe2a8869c5646491ec9413d6985d1e0828002422c108,True,f867f1f92b791eefd6ceb36207fc2d328165b39f93bd425cc1411449e85159f5,1.665695898455916e-16,79760,509,99544,10784,76838267decde3734814428458b2c7f4a00f4851cabf14a8f4f6719c31cab6a4,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,8,RANDOM_JOINT,BUDGET_EXHAUSTED,0.3697581841873749,0.3697581841873746,1.8466471626796406e-05,9.428128394918895e-05,0.19586572067419605,21,21,63,64,504,1.4010987281799316,13,21,16,4.654295748375087,0,0,0,0,0,0.0,504,63,1.4010987281799316,21,,,03464ab1b63a5fdca50a349cc325b15bfaf52b02f50936ddc042bd33b316a0aa,True,7bec271047b32a96b2b3a019030cdc5c848da077a233abed5820704b63a5caa0,1.1210126175528405e-16,79760,509,99544,10784,7fc6b3065a707c1eb5aac5445af14aa3ed4197af3eac54733c1aaa13e1a3815a,False,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,9,FROZEN_LAYERWISE,CONVERGED,0.36875012967584403,0.36875012967584336,4.353774733440693e-06,1.268509171513545e-05,0.3432198072518393,12,11,34,64,306,0.8789684772491455,5,12,2,0.0,0,77,70,217,1121,3.386219024658203,1427,251,4.265187501907349,89,fits/tv2_m16_branch_00__X__s9101/p008/FROZEN_LAYERWISE/WINNER.json,f0120ad4bf9a2642dc01eab726319e73fdb7739cc3a95f408a18ec7fbbb2b1e3,eea839ba8367b479d59abea1cd8551c356f5cf26932fe757aebc507f19113c8f,False,,,89730,509,111985,12132,a11496e90b8355f98c781e26d37fc9d95581221bea79f83bb44ac638049299b5,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,9,WARM_JOINT,BUDGET_EXHAUSTED,0.360698524609247,0.36069852460924706,7.252749171544479e-06,2.8757832402198286e-05,0.2522008289814663,22,21,64,64,576,1.5666429996490479,16,22,18,2.7060959984815636,0,122,115,352,1928,5.4379518032073975,2504,416,7.004594802856445,144,fits/tv2_m16_branch_00__X__s9101/p008/WARM_JOINT/WINNER.json,0f372c729d1f914d265fbe2a8869c5646491ec9413d6985d1e0828002422c108,064af2389bcb8cae5bd12426b69353e818632c0a29cccb769b1cdb06864222ed,False,,,89730,509,111985,12132,92fc7d994420ac16d726b0e7be96fb2d6d34807175e36e205906e79d954ab8cd,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,10,FROZEN_LAYERWISE,CONVERGED,0.3668283519041362,0.3668283519041362,4.39664753670731e-06,1.378034856155206e-05,0.3190519831243022,12,11,34,64,340,1.0758116245269775,5,12,2,0.0,0,89,81,251,1427,4.265187501907349,1767,285,5.340999126434326,101,fits/tv2_m16_branch_00__X__s9101/p009/FROZEN_LAYERWISE/WINNER.json,eea839ba8367b479d59abea1cd8551c356f5cf26932fe757aebc507f19113c8f,ac98303f706f5e546fe671bd5b14aaf7a853c452e6dfc8e708d8a3bef5aaea44,False,,,99700,509,124426,13480,7d08c365feb77f2a443774e5c20045cb0bad74b82c15df2991456d092a49a27a,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,10,WARM_JOINT,BUDGET_EXHAUSTED,0.34679993185742203,0.3467999318574214,3.8375093589251865e-06,9.83929982953011e-06,0.390018540486783,22,21,64,64,640,1.7647476196289062,20,22,20,4.971466679844344,0,144,136,416,2504,7.004594802856445,3144,480,8.769342422485352,166,fits/tv2_m16_branch_00__X__s9101/p009/WARM_JOINT/WINNER.json,064af2389bcb8cae5bd12426b69353e818632c0a29cccb769b1cdb06864222ed,7e2f87423f3f75975c08af2a568262304e76e45b0beae3b9f58d9aa33c1b050b,False,,,99700,509,124426,13480,0c8ae5b5e35e76c7ec8a42f4cdbe6662d7493077944168cac379703a660010c0,True,False
