unit,strategy,rank,mask,cost,optimal,probability
tv2_m16_cycle_00__X__s9101,WARM_JOINT,10,4932,358,False,0.0466316971914544
tv2_m16_cycle_00__X__s9101,WARM_JOINT,11,53318,407,False,0.03744705360732273
tv2_m16_cycle_00__X__s9101,RANDOM_JOINT,1,8320,107,True,0.08064094939110701
tv2_m16_cycle_00__X__s9101,RANDOM_JOINT,2,12544,171,False,0.07598542941901348
tv2_m16_cycle_00__X__s9101,RANDOM_JOINT,3,102,230,False,0.07573108507427113
tv2_m16_cycle_00__X__s9101,RANDOM_JOINT,4,149,247,False,0.07072611916467403
tv2_m16_cycle_00__X__s9101,RANDOM_JOINT,5,36869,292,False,0.06597803698410837
tv2_m16_cycle_00__X__s9101,RANDOM_JOINT,6,708,294,False,0.0647630626901175
tv2_m16_cycle_00__X__s9101,RANDOM_JOINT,7,33829,308,False,0.06161021924578327
tv2_m16_cycle_00__X__s9101,RANDOM_JOINT,8,34949,317,False,0.058161290507400105
tv2_m16_cycle_00__X__s9101,RANDOM_JOINT,9,4373,311,False,0.056005491951391644
tv2_m16_cycle_00__X__s9101,RANDOM_JOINT,10,4932,358,False,0.05276551934015857
tv2_m16_cycle_00__X__s9101,RANDOM_JOINT,11,53318,407,False,0.047392073472746855
tv2_m16_cycle_00__MULTI__s9101,FROZEN_LAYERWISE,1,8320,107,True,2.6959340430321137e-05
tv2_m16_cycle_00__MULTI__s9101,FROZEN_LAYERWISE,2,36869,292,False,9.60312897052272e-06
tv2_m16_cycle_00__MULTI__s9101,FROZEN_LAYERWISE,3,34949,317,False,9.147268363700684e-06
tv2_m16_cycle_00__MULTI__s9101,FROZEN_LAYERWISE,4,12544,171,False,8.23218344908756e-06
tv2_m16_cycle_00__MULTI__s9101,FROZEN_LAYERWISE,5,102,230,False,7.883948237765056e-06
tv2_m16_cycle_00__MULTI__s9101,FROZEN_LAYERWISE,6,149,247,False,7.812510255135428e-06
tv2_m16_cycle_00__MULTI__s9101,FROZEN_LAYERWISE,7,708,294,False,7.778556449353531e-06
tv2_m16_cycle_00__MULTI__s9101,FROZEN_LAYERWISE,8,4373,311,False,7.69361842678556e-06
tv2_m16_cycle_00__MULTI__s9101,FROZEN_LAYERWISE,9,33829,308,False,7.5165993917243396e-06
tv2_m16_cycle_00__MULTI__s9101,FROZEN_LAYERWISE,10,4932,358,False,6.172120946606409e-06
tv2_m16_cycle_00__MULTI__s9101,FROZEN_LAYERWISE,11,53318,407,False,5.017981537375681e-06
tv2_m16_cycle_00__MULTI__s9101,WARM_JOINT,1,8320,107,True,0.46486101149872744
tv2_m16_cycle_00__MULTI__s9101,WARM_JOINT,2,12544,171,False,0.41972581573523426
tv2_m16_cycle_00__MULTI__s9101,WARM_JOINT,3,102,230,False,0.040084790254948315
tv2_m16_cycle_00__MULTI__s9101,WARM_JOINT,4,4373,311,False,0.02584043441657133
tv2_m16_cycle_00__MULTI__s9101,WARM_JOINT,5,708,294,False,0.006845691347470936
tv2_m16_cycle_00__MULTI__s9101,WARM_JOINT,6,53318,407,False,0.0016462998927607943
tv2_m16_cycle_00__MULTI__s9101,WARM_JOINT,7,34949,317,False,0.0016195742366039729
tv2_m16_cycle_00__MULTI__s9101,WARM_JOINT,8,149,247,False,0.0015706337600197506
tv2_m16_cycle_00__MULTI__s9101,WARM_JOINT,9,4932,358,False,0.0012429415628949674
tv2_m16_cycle_00__MULTI__s9101,WARM_JOINT,10,33829,308,False,0.0006102913858602729
tv2_m16_cycle_00__MULTI__s9101,WARM_JOINT,11,36869,292,False,0.00032061328545046543
tv2_m16_cycle_00__MULTI__s9101,RANDOM_JOINT,1,8320,107,True,0.13649634908945424
tv2_m16_cycle_00__MULTI__s9101,RANDOM_JOINT,2,12544,171,False,0.10797779245451061
tv2_m16_cycle_00__MULTI__s9101,RANDOM_JOINT,3,36869,292,False,0.06377584822112493
tv2_m16_cycle_00__MULTI__s9101,RANDOM_JOINT,4,102,230,False,0.06136657189056558
tv2_m16_cycle_00__MULTI__s9101,RANDOM_JOINT,5,34949,317,False,0.055159868691122736
tv2_m16_cycle_00__MULTI__s9101,RANDOM_JOINT,6,33829,308,False,0.04025153438950095
tv2_m16_cycle_00__MULTI__s9101,RANDOM_JOINT,7,149,247,False,0.028618726034130026
tv2_m16_cycle_00__MULTI__s9101,RANDOM_JOINT,8,53318,407,False,0.028387024349401744
tv2_m16_cycle_00__MULTI__s9101,RANDOM_JOINT,9,708,294,False,0.02212096594371677
tv2_m16_cycle_00__MULTI__s9101,RANDOM_JOINT,10,4373,311,False,0.016540176591769706
tv2_m16_cycle_00__MULTI__s9101,RANDOM_JOINT,11,4932,358,False,0.010260985420211846
tv2_m16_bottleneck_00__X__s9101,FROZEN_LAYERWISE,1,236,274,True,0.00048276598532582664
tv2_m16_bottleneck_00__X__s9101,FROZEN_LAYERWISE,2,2260,275,False,0.00047567998472032883
tv2_m16_bottleneck_00__X__s9101,FROZEN_LAYERWISE,3,1194,284,False,0.00029924637961663487
tv2_m16_bottleneck_00__X__s9101,FROZEN_LAYERWISE,4,3218,285,False,0.00029255652092063835
tv2_m16_bottleneck_00__X__s9101,FROZEN_LAYERWISE,5,8872,292,False,0.00019973098886527627
